event,event_month,signal_month,lead_months,future_6m_min_return_pct,leading_count,confirmation_count,percentile_leading_count,percentile_confirmation_count,percentile_joint_trigger,credit_level,credit_widening,real_level,real_rising,nfci_tight,nfci_tightening,curve_inverted,rate_shock,momentum_weak,below_high,vix_high,stlfsi_high
俄罗斯违约与LTCM,1998-08,1998-08,0,6.239551504341101,1,4,0,0,False,False,False,,,False,True,False,False,True,True,True,True
俄罗斯违约与LTCM,1998-08,1998-07,1,-14.579671825011387,0,0,0,0,False,False,False,,,False,False,False,False,False,False,False,False
俄罗斯违约与LTCM,1998-08,1998-05,3,-12.242159436714228,0,0,0,0,False,False,False,,,False,False,False,False,False,False,False,False
科网泡沫见顶,2000-03,2000-03,0,-5.203591583731571,0,0,4,1,False,False,False,,,False,False,False,False,False,False,False,False
科网泡沫见顶,2000-03,2000-02,1,3.9651007668322302,0,0,1,3,False,False,False,,,False,False,False,False,False,False,False,False
科网泡沫见顶,2000-03,1999-12,3,-6.998805925110596,0,0,2,2,False,False,False,,,False,False,False,False,False,False,False,False
9·11,2001-09,2001-09,0,1.8099111333141016,1,4,3,4,True,True,False,,,False,False,False,False,True,True,True,True
9·11,2001-09,2001-08,1,-8.172340570563886,0,3,2,4,False,False,False,,,False,False,False,False,True,True,False,True
9·11,2001-09,2001-06,3,-14.982281868783042,0,2,2,2,False,False,False,,,False,False,False,False,False,True,False,True
次贷风险显性化,2007-08,2007-08,0,-9.72598092940694,3,1,3,2,True,False,False,True,False,True,True,False,False,False,False,False,True
次贷风险显性化,2007-08,2007-07,1,-5.271871863878353,3,0,3,0,False,False,False,True,False,False,True,True,False,False,False,False,False
次贷风险显性化,2007-08,2007-05,3,-4.922840144928886,1,0,2,0,False,False,False,True,False,False,False,False,False,False,False,False,False
雷曼破产,2008-09,2008-09,0,-36.97571623790754,5,4,5,4,True,True,False,True,True,True,True,False,False,True,True,True,True
雷曼破产,2008-09,2008-08,1,-42.697781308738655,3,3,4,2,True,True,False,False,False,True,True,False,False,True,True,False,True
雷曼破产,2008-09,2008-06,3,-29.98125076293945,2,2,4,2,True,True,False,False,False,True,False,False,False,False,True,False,True
美国评级下调,2011-08,2011-08,0,-7.1761988080896515,2,4,3,3,True,True,False,False,False,False,True,False,False,True,True,True,True
美国评级下调,2011-08,2011-07,1,-12.447765322124948,1,2,1,1,False,False,False,False,False,False,True,False,False,True,False,True,False
美国评级下调,2011-08,2011-05,3,-15.892054340347507,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False
中国市场冲击,2015-08,2015-08,0,-2.6442831280001466,1,3,4,3,True,True,False,False,False,False,False,False,False,True,False,True,True
中国市场冲击,2015-08,2015-07,1,-8.736883551736273,0,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False
中国市场冲击,2015-08,2015-05,3,-8.890612218512583,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False
紧缩抛售,2018-10,2018-10,0,-7.555661431995054,0,0,3,2,True,False,False,False,False,False,False,False,False,False,False,False,False
紧缩抛售,2018-10,2018-09,1,-13.97160878047653,0,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False
紧缩抛售,2018-10,2018-07,3,-10.987502604996536,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False
新冠冲击,2020-02,2020-02,0,-12.511928240892821,2,4,4,4,True,False,False,False,False,False,True,True,False,True,True,True,True
新冠冲击,2020-02,2020-01,1,-19.87059226914265,1,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False
新冠冲击,2020-02,2019-11,3,-17.713894900249926,0,0,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False
快速加息周期,2022-01,2022-01,0,-16.170122210080052,0,0,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False
快速加息周期,2022-01,2021-12,1,-20.57833016788926,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False
快速加息周期,2022-01,2021-10,3,-10.28036164395878,0,0,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False
硅谷银行事件,2023-03,2023-03,0,1.4642341662481018,1,0,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False
硅谷银行事件,2023-03,2023-02,1,3.505161257710898,1,0,3,1,False,False,False,False,False,False,False,True,False,False,False,False,False
硅谷银行事件,2023-03,2022-12,3,3.4027842777379913,1,0,3,1,False,False,False,False,False,False,False,True,False,False,False,False,False
