onset_month,future_6m_min_return_pct,future_10pct_correction,leading_count,confirmation_count_t0,confirmed_t0,confirmed_within_1m,confirmed_within_3m,vix_t0,vix_change_vs_prior,vix_max_next_3m,vix_max_change_next_3m,equity_momentum_t0,equity_gap_t0,stlfsi_t0,stlfsi_max_next_3m,sp500_min_return_next_3m
2008-03,-11.81976045903681,True,4,4,True,True,True,25.61,0.0,25.61,0.0,-9.919913075322118,-14.630371696844147,1.6924,1.7659,-3.2282416835385908
2008-08,-42.697781308738655,True,4,2,True,True,True,20.65,-2.2900000000000027,59.89,36.95,-8.394153616750755,-8.394153616750755,1.574,7.7989,-30.135713934312903
2009-03,9.392507914826332,False,3,4,True,True,True,44.14,-2.210000000000001,44.14,-2.210000000000001,-11.666759466682809,-17.63922631048387,3.2455,3.2455,0.0
2009-05,0.019582726560996022,False,3,2,True,True,True,28.92,-7.579999999999998,28.92,-7.579999999999998,25.037747904197328,0.0,1.3885,1.6813,0.0
2011-08,-7.1761988080896515,False,3,3,True,True,True,31.62,6.370000000000001,42.96,17.71,-9.389677453779433,-10.61300315029694,0.878,1.2511,-7.1761988080896515
2012-05,3.955498222833631,False,3,1,False,False,False,24.06,6.91,24.06,6.91,-4.05293300622267,-6.967845725489264,0.3657,0.3657,0.0
2015-06,-6.935164420467954,False,3,0,False,False,True,18.23,4.390000000000001,28.43,14.59,-0.23114311711688318,-2.1011671979729973,-0.3095,0.6827,-6.935164420467954
2015-08,-2.6442831280001466,False,4,3,True,True,True,28.43,16.310000000000002,28.43,16.310000000000002,-6.415985923790091,-6.415985923790091,0.6827,0.6827,-2.6442831280001466
2016-01,-0.41283603090035426,False,3,2,True,True,True,20.2,1.9899999999999984,20.55,2.34,-6.690525450158324,-6.73761074964686,0.5557,0.5692,-0.41283603090035426
2017-11,-0.25343750668542775,False,3,0,False,False,False,11.28,1.0999999999999996,19.85,9.670000000000002,7.117924573962675,0.0,-0.8201,-0.3391,0.0
2018-02,-2.688449860055664,False,3,0,False,False,True,19.85,6.310000000000002,19.97,6.43,2.5022850318060286,-3.89473718793677,-0.3391,0.3461,-2.688449860055664
2018-10,-7.555661431995054,False,3,2,True,True,True,21.23,9.110000000000001,25.42,13.300000000000002,-3.7123324436757255,-6.94033560936963,-0.2054,0.6791,-7.555661431995054
2019-11,-17.713894900249926,True,3,0,False,False,True,12.62,-0.6000000000000014,40.11,26.89,7.330358945438231,0.0,-0.1844,0.6827,-5.945915317096462
2020-02,-12.511928240892821,True,4,4,True,True,True,40.11,21.27,53.54,34.7,-5.945915317096462,-8.560163678303368,0.6827,5.3832,-12.511928240892821
2022-01,-16.170122210080052,True,3,3,True,True,True,24.83,7.609999999999999,33.4,16.18,-1.950546543624998,-5.258516502739385,-0.1926,0.1913,-8.495524255053555
2024-04,4.80211901511991,False,4,0,False,False,False,15.65,2.6400000000000006,16.36,3.3499999999999996,3.9218689524098904,-4.161507173789869,-0.8334,-0.618,0.0
2024-07,2.2834706936630367,False,3,0,False,False,False,16.36,3.92,23.16,10.72,9.66322130518944,0.0,-0.618,-0.2665,0.0
2024-12,-5.314340250007099,False,3,0,False,False,True,17.35,3.8400000000000016,22.28,8.770000000000001,2.0676844474530887,-2.499013704848363,-0.6215,-0.4333,-4.586820159231875
2025-03,-0.7624943346289825,False,3,2,True,True,True,22.28,2.650000000000002,24.7,5.07,-4.586820159231875,-7.096723346243894,-0.6181,-0.2558,-0.7624943346289825
