model,sample,start,end,auc,train_selected_threshold,n,signals,tp,fp,precision,recall,false_positive_rate,base_rate,lift
仅名义10Y,训练期（至2016-12）,1994-04,2016-12,0.6278703703703704,0.157153,273,149,36,113,0.24161073825503357,0.75,0.5022222222222222,0.17582417582417584,1.3741610738255032
仅名义10Y,验证期（2017起）,2017-01,2026-03,0.3310387984981227,0.157153,111,31,2,29,0.06451612903225806,0.11764705882352941,0.30851063829787234,0.15315315315315314,0.42125237191650855
利率与曲线,训练期（至2016-12）,2003-04,2016-12,0.8000635727908455,0.114446,165,65,20,45,0.3076923076923077,0.9090909090909091,0.3146853146853147,0.13333333333333333,2.307692307692308
利率与曲线,验证期（2017起）,2017-01,2026-03,0.285982478097622,0.114446,111,1,0,1,0.0,0.0,0.010638297872340425,0.15315315315315314,0.0
信用与金融条件,训练期（至2016-12）,1994-04,2016-12,0.7542592592592593,0.125863,273,142,42,100,0.29577464788732394,0.875,0.4444444444444444,0.17582417582417584,1.6822183098591548
信用与金融条件,验证期（2017起）,2017-01,2026-03,0.5957446808510638,0.125863,111,46,9,37,0.1956521739130435,0.5294117647058824,0.39361702127659576,0.15315315315315314,1.2774936061381075
市场确认,训练期（至2016-12）,1994-06,2016-12,0.7639200298953662,0.228509,271,49,26,23,0.5306122448979592,0.5416666666666666,0.1031390134529148,0.17712177121771217,2.9957482993197284
市场确认,验证期（2017起）,2017-01,2026-03,0.6364205256570713,0.228509,111,5,0,5,0.0,0.0,0.05319148936170213,0.15315315315315314,0.0
信用+利率领先组合,训练期（至2016-12）,2003-04,2016-12,0.9421487603305785,0.225907,165,24,15,9,0.625,0.6818181818181818,0.06293706293706294,0.13333333333333333,4.6875
信用+利率领先组合,验证期（2017起）,2017-01,2026-03,0.6508135168961201,0.225907,111,2,0,2,0.0,0.0,0.02127659574468085,0.15315315315315314,0.0
领先组合+市场确认,训练期（至2016-12）,2003-04,2016-12,0.963445645263827,0.185934,165,25,18,7,0.72,0.8181818181818182,0.04895104895104895,0.13333333333333333,5.3999999999999995
领先组合+市场确认,验证期（2017起）,2017-01,2026-03,0.6020025031289111,0.185934,111,0,0,0,,0.0,0.0,0.15315315315315314,
