,forward_min_3m,forward_min_6m,correction_10,correction_15,仅10Y快速上升,领先压力：8项至少2项,领先压力：8项至少3项,市场确认：4项至少2项,市场确认：4项至少3项,信用恶化且市场至少2项确认,融资压力至少2项且市场至少1项确认,滚动分位领先压力：8项至少3项,滚动分位市场确认：4项至少2项,滚动分位领先至少2项且市场至少1项,滚动分位领先至少3项且市场至少2项
1994-01,-7.4417054105986535,-7.7531607469960235,False,False,,,,,,,,,,,
1994-02,-4.574651060635082,-4.895753931929225,False,False,,,,,,,,,,,
1994-03,-0.33649640778172785,-0.33649640778172785,False,False,,,,,,,,,,,
1994-04,-1.4725809129338407,-1.4725809129338407,False,False,True,,,,,,,,,,
1994-05,-2.679082362832008,-2.679082362832008,False,False,True,,,,,,,,,,
1994-06,3.1489907258900107,2.120335305260612,False,False,False,,,False,False,False,,,,,
1994-07,0.97106044486166,-0.9972520461813961,False,False,False,,,False,False,False,,,,,
1994-08,-4.5847416855659295,-4.5847416855659295,False,False,False,,,False,False,False,,,,,
1994-09,-1.9493828056979745,-1.9493828056979745,False,False,False,,,False,False,False,,,,,
1994-10,-3.950461187888721,-3.950461187888721,False,False,False,,,False,False,False,,,,,
1994-11,1.2299117331743048,1.2299117331743048,False,False,False,,,False,False,False,,,,,
1994-12,2.4277711761677034,2.4277711761677034,False,False,False,,,False,False,False,,,,,
1995-01,3.607414807259257,3.607414807259257,False,False,False,,,False,False,False,,,,,
1995-02,2.732919511338072,2.732919511338072,False,False,False,,,False,False,False,,,,,
1995-03,2.796035780491146,2.796035780491146,False,False,False,,,False,False,False,,,,,
1995-04,3.631171269946476,3.631171269946476,False,False,False,,,False,False,False,,,,,
1995-05,2.1278543431649366,2.1278543431649366,False,False,False,,,False,False,False,,,,,
1995-06,3.144562621902258,3.144562621902258,False,False,False,,,False,False,False,,,,,
1995-07,-0.03202374774278205,-0.03202374774278205,False,False,False,,,False,False,False,,,,,
1995-08,3.491847893978628,3.491847893978628,False,False,False,,,False,False,False,,,,,
1995-09,-0.49793351897702287,-0.49793351897702287,False,False,False,,,False,False,False,,,,,
1995-10,4.104900278106194,4.104900278106194,False,False,False,,,False,False,False,,,,,
1995-11,1.744387340596476,1.744387340596476,False,False,False,,,False,False,False,,,,,
1995-12,3.2617386869231213,3.2617386869231213,False,False,False,,,False,False,False,,,,,
1996-01,0.6933701784703983,0.6179039267785402,False,False,False,,,False,False,False,,,,,
1996-02,0.7916567590839696,-0.07494659435679507,False,False,False,,,False,False,False,,,,,
1996-03,1.343142201418468,-0.859796714634975,False,False,False,,,False,False,False,,,,,
1996-04,-2.173742463673689,-2.173742463673689,False,False,True,,,False,False,False,,,,,
1996-05,-4.35945467524812,-4.35945467524812,False,False,False,,,False,False,False,,,,,
1996-06,-4.57480167192077,-4.57480167192077,False,False,False,,,False,False,False,,,,,
1996-07,1.881393514756069,1.881393514756069,False,False,False,,,False,False,False,,,,,
1996-08,5.420332732833044,5.420332732833044,False,False,False,,,False,False,False,,,,,
1996-09,2.610100242291802,2.610100242291802,False,False,False,,,False,False,False,,,,,
1996-10,5.029275273419342,5.029275273419342,False,False,False,,,False,False,False,,,,,
1996-11,-2.1505414489508046,-2.1505414489508046,False,False,False,,,False,False,False,,,,,
1996-12,2.2113028996355144,2.2113028996355144,False,False,False,,,False,False,False,,,,,
1997-01,-3.693901879942818,-3.693901879942818,False,False,False,,,False,False,False,,,,,
1997-02,-4.261401064074876,-4.261401064074876,False,False,False,,,False,False,False,,,,,
