rule,sample,n,signals,tp,fp,precision,recall,false_positive_rate,base_rate,lift
仅10Y快速上升,训练期（至2016-12）,273,7,0,7,0.0,0.0,0.03111111111111111,0.17582417582417584,0.0
仅10Y快速上升,验证期（2017起）,111,6,2,4,0.3333333333333333,0.11764705882352941,0.0425531914893617,0.15315315315315314,2.176470588235294
仅10Y快速上升,全样本,384,13,2,11,0.15384615384615385,0.03076923076923077,0.034482758620689655,0.16927083333333334,0.9088757396449704
领先压力：8项至少2项,训练期（至2016-12）,165,46,15,31,0.32608695652173914,0.6818181818181818,0.21678321678321677,0.13333333333333333,2.4456521739130435
领先压力：8项至少2项,验证期（2017起）,111,17,4,13,0.23529411764705882,0.23529411764705882,0.13829787234042554,0.15315315315315314,1.5363321799307958
领先压力：8项至少2项,全样本,276,63,19,44,0.30158730158730157,0.48717948717948717,0.18565400843881857,0.14130434782608695,2.1343101343101343
领先压力：8项至少3项,训练期（至2016-12）,165,15,9,6,0.6,0.4090909090909091,0.04195804195804196,0.13333333333333333,4.5
领先压力：8项至少3项,验证期（2017起）,111,8,2,6,0.25,0.11764705882352941,0.06382978723404255,0.15315315315315314,1.6323529411764708
领先压力：8项至少3项,全样本,276,23,11,12,0.4782608695652174,0.28205128205128205,0.05063291139240506,0.14130434782608695,3.384615384615385
市场确认：4项至少2项,训练期（至2016-12）,271,56,20,36,0.35714285714285715,0.4166666666666667,0.16143497757847533,0.17712177121771217,2.016369047619048
市场确认：4项至少2项,验证期（2017起）,111,14,4,10,0.2857142857142857,0.23529411764705882,0.10638297872340426,0.15315315315315314,1.865546218487395
市场确认：4项至少2项,全样本,382,70,24,46,0.34285714285714286,0.36923076923076925,0.14511041009463724,0.17015706806282724,2.0149450549450547
市场确认：4项至少3项,训练期（至2016-12）,271,38,15,23,0.39473684210526316,0.3125,0.1031390134529148,0.17712177121771217,2.228618421052632
市场确认：4项至少3项,验证期（2017起）,111,8,3,5,0.375,0.17647058823529413,0.05319148936170213,0.15315315315315314,2.448529411764706
市场确认：4项至少3项,全样本,382,46,18,28,0.391304347826087,0.27692307692307694,0.08832807570977919,0.17015706806282724,2.299665551839465
信用恶化且市场至少2项确认,训练期（至2016-12）,271,48,15,33,0.3125,0.3125,0.14798206278026907,0.17712177121771217,1.7643229166666667
信用恶化且市场至少2项确认,验证期（2017起）,111,7,3,4,0.42857142857142855,0.17647058823529413,0.0425531914893617,0.15315315315315314,2.7983193277310923
信用恶化且市场至少2项确认,全样本,382,55,18,37,0.32727272727272727,0.27692307692307694,0.1167192429022082,0.17015706806282724,1.9233566433566431
融资压力至少2项且市场至少1项确认,训练期（至2016-12）,165,29,15,14,0.5172413793103449,0.6818181818181818,0.0979020979020979,0.13333333333333333,3.8793103448275863
融资压力至少2项且市场至少1项确认,验证期（2017起）,111,6,2,4,0.3333333333333333,0.11764705882352941,0.0425531914893617,0.15315315315315314,2.176470588235294
融资压力至少2项且市场至少1项确认,全样本,276,35,17,18,0.4857142857142857,0.4358974358974359,0.0759493670886076,0.14130434782608695,3.4373626373626376
滚动分位领先压力：8项至少3项,训练期（至2016-12）,106,21,9,12,0.42857142857142855,0.5,0.13636363636363635,0.16981132075471697,2.5238095238095237
滚动分位领先压力：8项至少3项,验证期（2017起）,111,40,8,32,0.2,0.47058823529411764,0.3404255319148936,0.15315315315315314,1.3058823529411767
滚动分位领先压力：8项至少3项,全样本,217,61,17,44,0.2786885245901639,0.4857142857142857,0.24175824175824176,0.16129032258064516,1.7278688524590162
滚动分位市场确认：4项至少2项,训练期（至2016-12）,212,65,27,38,0.4153846153846154,0.627906976744186,0.22485207100591717,0.2028301886792453,2.0479427549194993
滚动分位市场确认：4项至少2项,验证期（2017起）,111,28,7,21,0.25,0.4117647058823529,0.22340425531914893,0.15315315315315314,1.6323529411764708
滚动分位市场确认：4项至少2项,全样本,323,93,34,59,0.3655913978494624,0.5666666666666667,0.22433460076045628,0.18575851393188855,1.968100358422939
滚动分位领先至少2项且市场至少1项,训练期（至2016-12）,106,26,11,15,0.4230769230769231,0.6111111111111112,0.17045454545454544,0.16981132075471697,2.4914529914529915
滚动分位领先至少2项且市场至少1项,验证期（2017起）,111,29,7,22,0.2413793103448276,0.4117647058823529,0.23404255319148937,0.15315315315315314,1.5760649087221097
滚动分位领先至少2项且市场至少1项,全样本,217,55,18,37,0.32727272727272727,0.5142857142857142,0.2032967032967033,0.16129032258064516,2.0290909090909093
滚动分位领先至少3项且市场至少2项,训练期（至2016-12）,106,15,7,8,0.4666666666666667,0.3888888888888889,0.09090909090909091,0.16981132075471697,2.7481481481481485
滚动分位领先至少3项且市场至少2项,验证期（2017起）,111,21,7,14,0.3333333333333333,0.4117647058823529,0.14893617021276595,0.15315315315315314,2.176470588235294
滚动分位领先至少3项且市场至少2项,全样本,217,36,14,22,0.3888888888888889,0.4,0.12087912087912088,0.16129032258064516,2.4111111111111114
训练期优选AND：10Y实际利率 ≥2% + NFCI三个月上升 ≥0.15,训练期（至2016-12）,168,8,6,2,0.75,0.2727272727272727,0.0136986301369863,0.13095238095238096,5.727272727272727
训练期优选AND：10Y实际利率 ≥2% + NFCI三个月上升 ≥0.15,验证期（2017起）,111,0,0,0,,0.0,0.0,0.15315315315315314,
训练期优选AND：10Y实际利率 ≥2% + NFCI三个月上升 ≥0.15,全样本,279,8,6,2,0.75,0.15384615384615385,0.008333333333333333,0.13978494623655913,5.365384615384616
训练期优选AND：10Y实际利率 ≥2% + NFCI ≥0,训练期（至2016-12）,168,8,6,2,0.75,0.2727272727272727,0.0136986301369863,0.13095238095238096,5.727272727272727
训练期优选AND：10Y实际利率 ≥2% + NFCI ≥0,验证期（2017起）,111,0,0,0,,0.0,0.0,0.15315315315315314,
训练期优选AND：10Y实际利率 ≥2% + NFCI ≥0,全样本,279,8,6,2,0.75,0.15384615384615385,0.008333333333333333,0.13978494623655913,5.365384615384616
训练期优选AND：NFCI ≥0 + NFCI三个月上升 ≥0.15,训练期（至2016-12）,273,15,11,4,0.7333333333333333,0.22916666666666666,0.017777777777777778,0.17582417582417584,4.1708333333333325
训练期优选AND：NFCI ≥0 + NFCI三个月上升 ≥0.15,验证期（2017起）,111,2,0,2,0.0,0.0,0.02127659574468085,0.15315315315315314,0.0
训练期优选AND：NFCI ≥0 + NFCI三个月上升 ≥0.15,全样本,384,17,11,6,0.6470588235294118,0.16923076923076924,0.018808777429467086,0.16927083333333334,3.8226244343891405
训练期优选AND：NFCI ≥0 + 标普距六个月高点 ≤−8%,训练期（至2016-12）,271,13,9,4,0.6923076923076923,0.1875,0.017937219730941704,0.17712177121771217,3.9086538461538463
训练期优选AND：NFCI ≥0 + 标普距六个月高点 ≤−8%,验证期（2017起）,111,2,0,2,0.0,0.0,0.02127659574468085,0.15315315315315314,0.0
训练期优选AND：NFCI ≥0 + 标普距六个月高点 ≤−8%,全样本,382,15,9,6,0.6,0.13846153846153847,0.01892744479495268,0.17015706806282724,3.526153846153846
训练期优选AND：NFCI ≥0 + 标普三个月收益 ≤−5%,训练期（至2016-12）,273,12,8,4,0.6666666666666666,0.16666666666666666,0.017777777777777778,0.17582417582417584,3.791666666666666
训练期优选AND：NFCI ≥0 + 标普三个月收益 ≤−5%,验证期（2017起）,111,2,0,2,0.0,0.0,0.02127659574468085,0.15315315315315314,0.0
训练期优选AND：NFCI ≥0 + 标普三个月收益 ≤−5%,全样本,384,14,8,6,0.5714285714285714,0.12307692307692308,0.018808777429467086,0.16927083333333334,3.3758241758241754
